protein_id,motif_ac,start_pos,end_pos,score,length
A4UGR9,PS51389,1095,1110,0,16
A4UGR9,PS51389,1132,1147,0,16
A4UGR9,PS51389,1170,1185,0,16
A4UGR9,PS51389,1207,1222,0,16
A4UGR9,PS51389,1241,1256,0,16
A4UGR9,PS51389,1272,1287,0,16
A4UGR9,PS51389,1310,1325,0,16
A4UGR9,PS51389,1345,1360,0,16
A6H8Y1,PS00697,344,352,,9
A6NK89,PS50200,1,133,0,133
A8K830,PS52003,5,27,0,23
A8MQ27,PS51065,38,194,0,157
A8MQ27,PS51065,279,433,0,155
A8MQ27,PS50089,503,543,0,41
A8MW92,PS01359,684,726,,43
A8MZ59,PS50071,6,66,0,61
A8MZ59,PS00027,41,64,,24
E9PES4,PS50067,14,345,0,332
E9PES4,PS00411,244,255,,12
F6WQW2,PS50196,103,241,0,139
F8VXC8,PS52032,1,274,0,274
F8VXC8,PS50934,424,521,0,98
F8VXC8,PS51293,627,678,0,52
G5E948,PS50011,25,289,0,265
G5E948,PS00107,31,54,,24
G5E948,PS00108,149,161,,13
G5E948,PS50219,1071,1358,0,288
H0Y4W2,PS00196,2657,2671,,15
H0Y4W2,PS51189,2699,3271,0,573
H0Y4W2,PS50290,3514,3837,0,324
H0Y4W2,PS51190,3841,3873,0,33
H0Y6G2,PS50011,14,272,0,259
H0Y6G2,PS00107,20,43,,24
H0Y6G2,PS00108,132,144,,13
H0YDB2,PS50105,132,190,0,59
H3BPG6,PS50089,29,69,0,41
H3BPG6,PS00028,189,210,,22
J3KPD3,PS50102,10,87,0,78
O00206,PS51257,1,20,0,20
O00206,PS51450,55,76,0,22
O00206,PS51450,79,100,0,22
O00206,PS51450,103,124,0,22
O00206,PS51450,151,172,0,22
O00206,PS51450,176,199,0,24
O00206,PS51450,374,394,0,21
O00206,PS51450,400,422,0,23
O00206,PS51450,423,444,0,22
O00206,PS51450,497,518,0,22
O00206,PS51450,521,542,0,22
O00206,PS51450,545,565,0,21
O00206,PS50104,672,815,0,144
O00231,PS50250,224,392,0,169
O00232,PS50250,242,420,0,179
O00257,PS50013,11,69,0,59
O00257,PS00598,28,48,,21
O00311,PS50011,58,569,0,512
O00311,PS00107,64,90,,27
O00311,PS00108,173,185,,13
O00391,PS51352,36,156,0,121
O00391,PS51324,396,503,0,108
O00408,PS51845,578,902,0,325
O00408,PS00126,696,707,,12
O00411,PS00900,918,929,,12
O00411,PS00489,985,999,,15
O00442,PS01287,158,168,,11
O00443,PS51546,421,509,0,89
O00443,PS51547,682,841,0,160
O00443,PS51545,861,1037,0,177
O00443,PS50290,1105,1383,0,279
O00443,PS00915,1137,1151,,15
O00443,PS00916,1235,1255,,21
O00443,PS50195,1422,1538,0,117
O00443,PS50004,1555,1678,0,124
O00444,PS50011,12,265,0,254
O00444,PS00107,18,41,,24
O00444,PS00109,132,144,,13
O00444,PS51984,586,699,0,114
O00444,PS51985,700,813,0,114
O00444,PS50078,886,964,0,79
O00463,PS50089,45,85,0,41
O00463,PS00518,60,69,,10
O00463,PS50145,128,181,0,54
O00463,PS50145,183,239,0,57
O00463,PS50144,403,549,0,147
O00488,PS50157,61,90,0,30
O00488,PS00028,63,85,,23
O00506,PS50011,20,270,0,251
O00506,PS00107,26,49,,24
O00519,PS00571,215,246,,32
O00541,PS50172,322,415,0,94
O00562,PS51043,686,880,0,195
O00746,PS51374,38,174,0,137
O00746,PS00469,148,156,,9
O00750,PS51546,375,463,0,89
O00750,PS51547,635,786,0,152
O00750,PS51545,805,981,0,177
O00750,PS50290,1050,1328,0,279
O00750,PS00915,1082,1096,,15
O00750,PS00916,1180,1200,,21
O00750,PS50195,1365,1481,0,117
O00750,PS50004,1504,1624,0,121
O00767,PS00476,294,308,,15
O14492,PS50003,193,306,0,114
O14492,PS50001,417,515,0,99
O14523,PS50004,268,389,0,122
O14558,PS01031,55,160,0,106
O14561,PS50075,77,152,0,76
O14561,PS00012,107,122,,16
O14561,PS00018,132,144,,13
O14662,PS50192,230,292,0,63
O14662,PS00914,236,275,,40
O14672,PS50215,220,456,0,237
O14672,PS00142,380,389,,10
O14672,PS50214,457,551,0,95
O14686,PS51805,104,218,0,115
O14686,PS01359,172,247,,76
O14686,PS50016,226,276,0,51
O14686,PS50089,229,274,0,46
O14686,PS01359,229,294,,66
O14686,PS01359,244,320,,77
O14686,PS50016,273,323,0,51
O14686,PS50016,1377,1430,0,54
O14686,PS01359,1380,1448,,69
O14686,PS01359,1397,1474,,78
O14686,PS50016,1427,1477,0,51
O14686,PS50016,1504,1559,0,56
O14686,PS00398,1867,1879,,13
O14686,PS51805,5029,5137,0,109
O14686,PS51542,5175,5235,0,61
O14686,PS51543,5236,5321,0,86
O14686,PS50280,5397,5513,0,117
O14686,PS50868,5521,5537,0,17
O14727,PS50209,1,90,0,90
O14727,PS50082,611,652,0,42
O14727,PS50294,611,1212,0,602
O14727,PS50082,653,694,0,42
O14727,PS00678,672,686,,15
O14727,PS50082,695,738,0,44
O14727,PS00678,716,730,,15
O14727,PS50082,739,780,0,42
O14727,PS00678,758,772,,15
O14727,PS50082,878,910,0,33
O14727,PS50082,999,1031,0,33
O14727,PS50082,1040,1080,0,41
O14727,PS50082,1081,1115,0,35
O14727,PS50082,1123,1164,0,42
O14727,PS00678,1142,1156,,15
O14730,PS01245,402,413,,12
O14732,PS00629,98,111,,14
O14732,PS00630,230,244,,15
O14733,PS50011,120,380,0,261
O14733,PS00108,239,251,,13
O14735,PS00379,50,72,,23
O14744,PS51678,308,615,0,308
O14746,PS50878,605,935,0,331
O14757,PS50011,9,265,0,257
O14757,PS00107,15,38,,24
O14757,PS00108,126,138,,13
O14842,PS50262,22,276,0,255
O14862,PS50824,1,87,0,87
O14862,PS50834,138,337,0,200
O14867,PS50097,34,100,0,67
O14867,PS00036,562,577,,16
O14867,PS50217,562,620,0,59
O14901,PS50157,394,423,0,30
O14901,PS00028,396,418,,23
O14901,PS50157,424,453,0,30
O14901,PS00028,426,448,,23
O14901,PS50157,454,481,0,28
O14901,PS00028,456,476,,21
O14924,PS50106,22,99,0,78
O14924,PS01179,228,340,0,113
O14924,PS50132,715,832,0,118
O14924,PS50898,962,1032,0,71
O14924,PS50898,1034,1104,0,71
O14924,PS50877,1187,1209,0,23
O14939,PS50195,65,195,0,131
O14939,PS50035,437,464,0,28
O14939,PS50035,751,778,0,28
O14948,PS50888,139,192,0,54
O14950,PS50222,29,64,0,36
O14950,PS00018,42,54,,13
O14950,PS50222,98,133,0,36
O14950,PS50222,134,169,0,36
O14964,PS50179,15,143,0,129
O14964,PS50178,160,220,0,61
O14964,PS50330,258,277,0,20
O14965,PS50011,133,383,0,251
O14965,PS00107,139,162,,24
O14965,PS00108,252,264,,13
O14966,PS51419,3,203,0,201
O14976,PS50011,40,314,0,275
O14976,PS00108,169,181,,13
O14976,PS51181,399,566,0,168
O14976,PS51182,572,710,0,139
O14976,PS50076,1247,1311,0,65
O14979,PS50102,148,230,0,83
O14979,PS50102,233,312,0,80
O14980,PS50166,46,112,0,67
O15018,PS50106,94,160,0,67
O15018,PS50106,334,419,0,86
O15018,PS50106,586,672,0,87
O15018,PS50106,728,798,0,71
O15018,PS00107,737,767,,31
O15018,PS50106,2622,2694,0,73
O15018,PS50106,2750,2835,0,86
O15042,PS50102,274,355,0,82
O15042,PS50128,430,473,0,44
O15042,PS51391,534,679,0,146
O15047,PS50102,84,172,0,89
O15047,PS50280,1568,1685,0,118
O15047,PS50868,1691,1707,0,17
O15056,PS50275,120,444,0,325
O15056,PS50102,889,968,0,80
O15066,PS50067,9,340,0,332
O15066,PS00411,239,250,,12
O15085,PS50106,47,111,0,65
O15085,PS50132,313,419,0,107
O15085,PS50010,734,923,0,190
O15085,PS50003,965,1079,1,115
O15090,PS50157,130,157,0,28
O15090,PS00028,132,152,,21
O15090,PS50157,158,180,0,23
O15090,PS50157,274,302,0,29
O15090,PS00028,276,297,,22
O15090,PS50157,345,372,0,28
O15090,PS00028,347,367,,21
O15090,PS50157,373,400,0,28
O15090,PS00028,374,395,,22
O15090,PS50157,631,658,0,28
O15090,PS00028,633,653,,21
O15090,PS50157,751,778,0,28
O15090,PS00028,753,773,,21
O15090,PS50157,779,806,0,28
O15143,PS50082,48,82,0,35
O15143,PS50294,48,89,0,42
O15155,PS50192,26,88,0,63
O15160,PS00446,74,114,,41
O15165,PS50068,16,48,0,33
O15165,PS01209,24,47,,24
O15205,PS50053,8,83,0,76
O15205,PS50053,74,165,0,92
O15213,PS50294,271,396,0,126
O15213,PS00105,305,318,,14
O15213,PS00178,327,337,,11
O15213,PS50082,355,389,0,35
O15260,PS01339,236,250,,15
O15265,PS51505,334,401,0,68
O15294,PS50005,21,54,0,34
O15294,PS50293,21,496,0,476
O15294,PS50005,89,122,0,34
O15294,PS50005,123,156,0,34
O15294,PS50005,157,190,0,34
O15294,PS50005,191,224,0,34
O15294,PS50005,225,258,0,34
O15294,PS50005,259,292,0,34
O15294,PS50005,293,326,0,34
O15294,PS50005,327,360,0,34
O15294,PS50005,361,394,0,34
O15294,PS50005,395,428,0,34
O15294,PS50005,429,462,0,34
O15297,PS51746,8,375,0,368
O15297,PS01032,100,108,,9
O15304,PS00197,130,138,,9
O15355,PS51746,26,505,0,480
O15355,PS01032,55,63,,9
O15357,PS50001,21,117,0,97
O15357,PS50105,1201,1258,0,58
O15370,PS50118,40,108,0,69
O15381,PS00674,404,422,,19
O15381,PS00674,718,736,,19
O15393,PS50068,112,149,0,38
O15393,PS01209,126,148,,23
O15393,PS50287,158,189,0,32
O15393,PS50240,256,489,0,234
O15393,PS00134,292,297,,6
O15393,PS00135,435,446,,12
O15439,PS50929,93,377,0,285
O15439,PS50893,410,633,0,224
O15439,PS00211,535,549,,15
O15439,PS50929,715,1005,0,291
O15439,PS50893,1041,1274,0,234
O15439,PS00211,1177,1191,,15
O15440,PS50929,180,459,0,280
O15440,PS50893,562,783,0,222
O15440,PS00211,685,699,,15
O15440,PS50929,860,1155,0,296
O15440,PS50893,1193,1427,0,235
O15440,PS00211,1330,1344,,15
O15498,PS50859,8,115,0,108
O15498,PS50892,138,198,0,61
O15504,PS50103,1,25,0,25
O15524,PS50001,79,174,0,96
O15524,PS50225,161,210,0,50
O15530,PS51257,1,23,0,23
O15530,PS50011,82,342,0,261
O15530,PS00107,88,111,,24
O15530,PS00108,201,213,,13
O15541,PS50103,196,224,0,29
O15541,PS50089,262,300,0,39
O15541,PS00518,277,286,,10
O43147,PS50826,34,191,0,158
O43147,PS50086,566,939,0,374
O43148,PS51562,167,475,0,309
O43159,PS01184,380,394,,15
O43175,PS00065,148,175,,28
O43175,PS00670,196,218,,23
O43175,PS00671,225,241,,17
O43175,PS00306,421,428,,8
O43182,PS50238,401,602,0,202
O43242,PS50250,286,465,0,180
O43255,PS50089,80,115,0,36
O43255,PS51081,133,193,0,61
O43257,PS51083,117,149,0,33
O43278,PS50986,57,140,0,84
O43278,PS50279,250,300,0,51
O43278,PS00280,278,296,,19
O43278,PS50068,334,370,0,37
O43278,PS01209,347,369,,23
O43278,PS50279,391,441,0,51
O43278,PS00280,419,437,,19
O43293,PS50011,13,275,0,263
O43293,PS00107,19,46,,28
O43293,PS00108,135,147,,13
O43318,PS50011,36,291,0,256
O43318,PS00107,42,63,,22
O43318,PS00108,152,164,,13
O43324,PS50405,50,173,0,124
O43353,PS50011,18,294,0,277
O43353,PS00108,142,154,,13
O43353,PS50209,432,524,0,93
O43395,PS51025,1,87,0,87
O43396,PS00194,26,44,,19
O43396,PS51532,115,285,0,171
O43402,PS50249,4,150,0,147
O43462,PS00142,168,177,,10
O43502,PS50162,96,286,0,191
O43543,PS50162,16,197,0,182
O43566,PS50132,67,184,0,118
O43566,PS50898,302,372,0,71
O43566,PS50898,374,444,0,71
O43566,PS50877,498,520,0,23
O43567,PS50089,240,282,0,43
O43567,PS01186,264,278,,15
O43572,PS50132,125,369,0,245
O43572,PS50132,379,505,0,127
O43583,PS50296,115,182,0,68
O43586,PS51741,5,264,0,260
O43586,PS50002,359,416,0,58
O43614,PS50262,71,364,0,294
O43614,PS00237,140,156,,17
O43639,PS50002,2,61,0,60
O43639,PS50002,111,170,0,60
O43639,PS50002,195,257,0,63
O43639,PS50001,285,379,0,95
O43660,PS50082,200,241,0,42
O43660,PS50294,200,499,0,300
O43660,PS50082,242,283,0,42
O43660,PS50082,284,325,0,42
O43660,PS00678,303,317,,15
O43660,PS50082,326,367,0,42
O43660,PS00678,345,359,,15
O43660,PS50082,409,449,0,41
O43665,PS50132,41,154,0,114
O43670,PS00028,13,34,,22
O43670,PS00028,37,58,,22
O43683,PS51489,11,182,0,172
O43683,PS50011,787,1085,0,299
O43683,PS00107,793,821,,29
O43683,PS00108,913,925,,13
O43707,PS50021,50,154,0,105
O43707,PS00019,52,61,,10
O43707,PS00020,126,150,,25
O43707,PS50021,163,269,0,107
O43707,PS50222,765,800,0,36
O43707,PS00018,778,790,,13
O43707,PS50222,806,841,0,36
O43715,PS51808,5,55,0,51
O43719,PS50102,133,218,0,86
O43719,PS50102,264,349,0,86
O43747,PS50180,702,817,0,116
O43808,PS50920,7,92,0,86
O43808,PS50920,99,192,0,94
O43808,PS50920,200,294,0,95
O43819,PS51352,85,259,0,175
O43822,PS51450,41,62,0,22
O43822,PS51450,63,84,0,22
O43823,PS51799,392,414,0,23
O43823,PS51799,481,504,0,24
O43829,PS50097,36,102,0,67
O43829,PS50157,277,304,0,28
O43829,PS00028,279,299,,21
O43829,PS50157,305,332,0,28
O43829,PS00028,307,327,,21
O43829,PS50157,333,360,0,28
O43829,PS00028,335,355,,21
O43829,PS50157,361,388,0,28
O43829,PS00028,363,383,,21
O43829,PS50157,389,417,0,29
O43829,PS00028,391,412,,22
O43889,PS50217,150,213,0,64
O43889,PS00036,155,170,,16
O43903,PS50021,34,156,0,123
O43903,PS51460,197,270,0,74
O43933,PS00674,977,995,,19
O60231,PS51192,409,573,0,165
O60231,PS00690,515,524,,10
O60231,PS51194,598,771,0,174
O60241,PS50092,309,362,0,54
O60241,PS50092,364,417,0,54
O60241,PS50092,419,472,0,54
O60241,PS50092,475,528,0,54
O60241,PS50227,521,591,0,71
O60241,PS50221,757,924,0,168
O60241,PS50261,932,1206,0,275
O60260,PS50053,1,72,0,72
O60260,PS51873,234,465,0,232
O60266,PS50125,319,446,0,128
O60266,PS00452,423,446,,24
O60266,PS50125,923,1075,0,153
O60266,PS00452,1052,1075,,24
O60291,PS50089,278,317,0,40
O60293,PS50293,1361,1434,0,74
O60293,PS50293,1602,1669,0,68
O60313,PS51718,285,561,0,277
O60318,PS50250,775,958,0,184
O60331,PS51455,75,443,0,369
O60333,PS50067,5,354,0,350
O60333,PS00411,242,253,,12
O60333,PS50006,556,612,0,57
O60333,PS50003,1701,1799,1,99
O60337,PS51292,1,62,0,62
O60341,PS50934,174,273,0,100
O60381,PS51148,203,345,0,143
O60381,PS50118,434,502,0,69
O60462,PS01180,28,142,0,115
O60462,PS01180,149,267,0,119
O60462,PS50022,277,427,0,151
O60462,PS01285,317,346,,30
O60462,PS01286,411,427,,17
O60462,PS50022,434,592,0,159
O60462,PS01285,473,505,,33
O60462,PS01286,575,592,,18
O60462,PS50060,644,802,0,159
O60493,PS50195,27,151,0,125
O60502,PS52009,60,336,0,277
O60503,PS50125,394,521,0,128
O60503,PS00452,498,521,,24
O60503,PS50125,1058,1198,0,141
O60503,PS00452,1175,1198,,24
O60508,PS50082,284,318,0,35
O60508,PS50294,284,579,0,296
O60508,PS00678,304,318,,15
O60508,PS50082,328,369,0,42
O60508,PS50082,414,446,0,33
O60508,PS50082,514,545,0,32
O60508,PS50082,546,579,0,34
O60566,PS51489,62,226,0,165
O60573,PS00813,112,135,,24
O60635,PS00421,64,86,,23
O60662,PS50097,33,100,0,68
O60662,PS00374,44,50,,7
O60733,PS50088,151,184,0,34
O60733,PS50297,151,412,0,262
O60733,PS50088,219,251,0,33
O60733,PS50088,316,348,0,33
O60733,PS50088,349,381,0,33
O60733,PS51635,481,665,0,185
O60760,PS50404,2,79,0,78
O60760,PS50405,81,199,0,119
O60763,PS50176,60,97,0,38
O60784,PS50179,20,152,0,133
O60784,PS50909,215,303,0,89
O60832,PS50890,296,371,0,76
O60869,PS50943,81,135,0,55
O60870,PS00028,28,50,,23
O60883,PS50262,147,416,0,270
O60885,PS50014,58,164,0,107
O60885,PS00633,80,139,,60
O60885,PS50014,348,457,0,110
O60885,PS51525,600,682,0,83
O60934,PS50006,24,83,1,60
O60936,PS50209,4,83,0,80
O75064,PS51498,44,203,0,160
O75064,PS50211,195,644,0,450
O75064,PS51375,812,846,0,35
O75083,PS50082,54,95,0,42
O75083,PS50294,54,606,0,553
O75083,PS50082,185,226,0,42
O75083,PS50082,230,271,0,42
O75083,PS00678,249,263,,15
O75083,PS50082,316,359,0,44
O75083,PS50082,528,569,0,42
O75121,PS50835,47,141,0,95
O75132,PS50808,115,172,0,58
O75132,PS50808,285,342,0,58
O75132,PS50808,456,512,0,57
O75132,PS50808,558,615,0,58
O75144,PS50835,6,129,0,124
O75144,PS50835,141,227,0,87
O75147,PS50835,12,100,0,89
O75147,PS50835,128,225,0,98
O75147,PS50835,243,330,0,88
O75147,PS50835,339,425,0,87
O75147,PS50853,517,615,0,99
O75147,PS50835,714,800,0,87
O75147,PS50835,804,893,0,90
O75147,PS50835,902,982,0,81
O75147,PS50835,986,1075,0,90
O75147,PS50835,1078,1172,0,95
O75147,PS50835,1174,1261,0,88
O75147,PS50835,1265,1343,0,79
O75147,PS50835,1357,1534,0,178
O75147,PS50835,1628,1720,0,93
O75147,PS50835,1794,1896,0,103
O75154,PS50222,202,237,0,36
O75154,PS50222,244,269,0,26
O75154,PS51511,694,756,0,63
O75165,PS50076,1301,1358,0,58
O75165,PS00178,2210,2221,,12
O75179,PS50297,233,1407,0,1175
O75179,PS50088,300,332,0,33
O75179,PS50088,333,365,0,33
O75179,PS50088,366,398,0,33
O75179,PS50088,400,432,0,33
O75179,PS50088,433,465,0,33
O75179,PS50088,466,498,0,33
O75179,PS50088,499,531,0,33
O75179,PS50088,563,595,0,33
O75179,PS50088,596,628,0,33
O75179,PS50088,629,661,0,33
O75179,PS50088,663,695,0,33
O75179,PS50088,1082,1114,0,33
O75179,PS50088,1115,1147,0,33
O75179,PS50088,1149,1181,0,33
O75179,PS50088,1182,1214,0,33
O75179,PS50088,1217,1249,0,33
O75179,PS50088,1251,1283,0,33
O75179,PS50088,1284,1316,0,33
O75179,PS50088,1319,1351,0,33
O75179,PS50088,1352,1384,0,33
O75179,PS50084,1725,1789,0,65
O75319,PS50054,61,208,0,148
O75319,PS50056,128,197,0,70
O75319,PS00383,150,160,,11
O75340,PS50222,23,58,0,36
O75340,PS00018,36,48,,13
O75340,PS50222,90,125,0,36
O75340,PS00018,103,115,,13
O75340,PS50222,156,191,0,36
O75344,PS50059,54,143,0,90
O75344,PS50293,219,286,0,68
O75379,PS50892,52,112,0,61
O75379,PS00417,70,89,,20
O75385,PS50011,16,278,0,263
O75385,PS00107,22,46,,25
O75385,PS00108,134,146,,13
O75396,PS50859,6,119,0,114
O75396,PS50892,134,194,0,61
O75417,PS51192,102,286,0,185
O75417,PS51194,321,554,0,234
O75417,PS00447,2379,2398,,20
O75475,PS50812,7,64,0,58
O75489,PS00542,167,188,,22
O75508,PS01346,51,65,,15
O75509,PS50050,90,131,0,42
O75509,PS00652,91,133,,43
O75509,PS50017,415,498,0,84
O75521,PS51228,39,124,0,86
O75521,PS00880,57,75,,19
O75534,PS51857,25,89,0,65
O75534,PS00352,37,56,,20
O75534,PS00436,43,54,,12
O75534,PS51857,111,178,0,68
O75534,PS51857,185,247,0,63
O75534,PS00352,197,216,,20
O75534,PS51857,282,336,0,55
O75534,PS51857,348,412,0,65
O75534,PS00352,360,379,,20
O75534,PS51857,442,509,0,68
O75534,PS51857,518,581,0,64
O75534,PS00352,530,549,,20
O75534,PS51857,614,672,0,59
O75534,PS51857,673,737,0,65
O75534,PS51938,748,789,0,42
O75554,PS50171,11,42,0,32
O75554,PS50020,122,155,0,34
O75554,PS01159,128,153,,26
O75554,PS50020,163,196,0,34
O75554,PS01159,169,194,,26
O75592,PS50012,601,656,0,56
O75592,PS00626,945,955,,11
O75592,PS50012,959,1009,0,51
O75592,PS00626,996,1006,,11
O75592,PS50012,1010,1067,0,58
O75592,PS50194,2341,2434,0,94
O75592,PS51284,3718,3896,0,179
O75592,PS50089,4428,4479,0,52
O75600,PS00599,262,271,,10
O75626,PS50280,84,201,0,118
O75626,PS00178,512,522,,11
O75626,PS50157,575,602,0,28
O75626,PS00028,577,597,,21
O75626,PS50157,603,630,0,28
O75626,PS00028,605,625,,21
O75626,PS50157,631,658,0,28
O75626,PS00028,633,653,,21
O75626,PS50157,659,686,0,28
O75626,PS00028,661,681,,21
O75695,PS51329,24,179,0,156
O75695,PS51374,234,348,0,115
O75791,PS50002,1,56,0,56
O75791,PS50001,58,149,0,92
O75791,PS50002,271,330,0,60
O75792,PS51975,28,250,0,223
O75821,PS50102,239,317,0,79
O75832,PS50088,39,71,0,33
O75832,PS50297,39,212,0,174
O75832,PS50088,72,104,0,33
O75832,PS50088,105,137,0,33
O75832,PS50088,138,170,0,33
O75832,PS50088,171,203,0,33
O75879,PS01234,210,224,,15
O75937,PS50076,57,124,0,68
O75940,PS50304,72,132,0,61
O76039,PS50011,13,297,0,285
O76039,PS00107,19,43,,25
O76039,PS00108,131,143,,13
O76062,PS01017,167,182,,16
O76062,PS01018,382,405,,24
O76064,PS50006,38,92,1,55
O76064,PS50089,403,441,0,39
O76064,PS00518,418,427,,10
O76071,PS51257,1,34,0,34
O76071,PS50082,22,43,0,22
O76071,PS50294,22,339,0,318
O76071,PS50082,57,89,0,33
O76071,PS50082,101,142,0,42
O76071,PS00678,120,134,,15
O76071,PS50082,146,177,0,32
O76071,PS50082,190,221,0,32
O76071,PS50082,299,339,0,41
O76083,PS51845,236,557,0,322
O76083,PS00126,352,363,,12
O76094,PS50005,11,44,0,34
O76094,PS50293,11,78,0,68
O76094,PS50005,109,142,0,34
O76094,PS50005,226,259,0,34
O76094,PS50293,226,259,0,34
O76094,PS50005,406,439,0,34
O76094,PS50293,406,480,0,75
O76094,PS50005,447,480,0,34
O94761,PS51192,489,662,0,174
O94761,PS51194,683,850,0,168
O94762,PS51192,39,213,0,175
O94762,PS00690,152,161,,10
O94762,PS51194,241,403,0,163
O94782,PS50235,81,785,0,705
O94782,PS00972,82,97,,16
O94782,PS00973,576,594,,19
O94804,PS50011,36,294,0,259
O94804,PS00107,42,65,,24
O94804,PS00108,153,165,,13
O94822,PS50089,1715,1762,0,48
O94826,PS50005,114,147,0,34
O94826,PS50293,114,578,0,465
O94826,PS50005,153,186,0,34
O94826,PS50005,329,362,0,34
O94826,PS50005,367,400,0,34
O94826,PS50005,401,434,0,34
O94826,PS50005,476,509,0,34
O94826,PS50005,545,578,0,34
